,3_months_return
461,
462,
463,
464,
465,2.56252499751497
466,-3.6521267792327006
467,-7.386972712374284
468,-7.431709175345446
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,
524,
525,
526,
527,
528,
529,
530,
531,
532,-13.955284366631226
533,-12.790695095526383
534,-13.946581784933132
535,-12.361214270920584
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,
599,-5.918613455825095
600,-6.337853867270549
601,-9.243287717432501
602,-10.996488332035536
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,
665,
666,-7.501772194137313
667,-9.346450924038729
668,-12.670303621831502
669,-15.050167416093085
688,
689,
690,
691,
692,
693,
694,
695,
696,
697,
698,
699,
700,
701,
702,
703,
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,
714,
715,
716,
717,
718,
719,
720,
721,
722,
723,
724,
725,
726,
727,
728,
729,
730,
731,
732,
733,0.04766211939861709
734,-0.4744976410419821
735,-3.7813630678367516
736,-4.968244896631058
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,
772,
773,
774,
775,
776,
777,
778,
779,
780,
781,
782,
783,
784,
785,
786,
787,
788,
789,
790,
791,
792,
793,
794,
795,
796,
797,
798,
799,
800,4.768303459649603
801,6.108748324294511
802,0.7986162686416165
803,-0.21505048198084964
822,
823,
824,
825,
826,
827,
828,
829,
830,
831,
832,
833,
834,
835,
836,
837,
838,
839,
840,
841,
842,
843,
844,
845,
846,
847,
848,
849,
850,
851,
852,
853,
854,
855,
856,
857,
858,
859,
860,
861,
862,
863,
864,
865,
866,
867,-9.415637132737531
868,-7.618488063827278
869,-10.428761728974035
870,-10.834693644615957
889,
890,
891,
892,
893,
894,
895,
896,
897,
898,
899,
900,
901,
902,
903,
904,
905,
906,
907,
908,
909,
910,
911,
912,
913,
914,
915,
916,
917,
918,
919,
920,
921,
922,
923,
924,
925,
926,
927,
928,
929,
930,
931,
932,
933,
934,9.022556458369202
935,6.766910621448763
936,1.4705868173635617
937,5.9259201698670605
956,
957,
958,
959,
960,
961,
962,
963,
964,
965,
966,
967,
968,
969,
970,
971,
972,
973,
974,
975,
976,
977,
978,
979,
980,
981,
982,
983,
984,
985,
986,
987,
988,
989,
990,
991,
992,
993,
994,
995,
996,
997,
998,
999,
1000,
1001,-35.960047997725006
1002,-37.43970266028063
1003,-39.42731226637343
1004,-38.79561791518299
1023,
1024,
1025,
1026,
1027,
1028,
1029,
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1050,
1051,
1052,
1053,
1054,
1055,
1056,
1057,
1058,
1059,
1060,
1061,
1062,
1063,
1064,
1065,
1066,
1067,
1068,1.329396675841532
1069,-0.34289296612085574
1070,-1.2260912578885064
1071,-2.285988937563177
1090,
1091,
1092,
1093,
1094,
1095,
1096,
1097,
1098,
1099,
1100,
1101,
1102,
1103,
1104,
1105,
1106,
1107,
1108,
1109,
1110,
1111,
1112,
1113,
1114,
1115,
1116,
1117,
1118,
1119,
1120,
1121,
1122,
1123,
1124,
1125,
1126,
1127,
1128,
1129,
1130,
1131,
1132,
1133,
1134,
1135,-18.367840394686162
1136,-19.594758215034524
1137,-18.718626555836483
1138,-18.376571564985746
1157,
1158,
1159,
1160,
1161,
1162,
1163,
1164,
1165,
1166,
1167,
1168,
1169,
1170,
1171,
1172,
1173,
1174,
1175,
1176,
1177,
1178,
1179,
1180,
1181,
1182,
1183,
1184,
1185,
1186,
1187,
1188,
1189,
1190,
1191,
1192,
1193,
1194,
1195,
1196,
1197,
1198,
1199,
1200,
1201,
1202,-13.20755209265827
1203,-7.2874520110220775
1204,-11.450380359549793
1205,-17.266187914150443
1224,
1225,
1226,
1227,
1228,
1229,
1230,
1231,
1232,
1233,
1234,
1235,
1236,
1237,
1238,
1239,
1240,
1241,
1242,
1243,
1244,
1245,
1246,
1247,
1248,
1249,
1250,
1251,
1252,
1253,
1254,
1255,
1256,
1257,
1258,
1259,
1260,
1261,
1262,
1263,
1264,
1265,
1266,
1267,
1268,
1269,26.95652204817962
1270,32.03027104254463
1271,17.21612787946487
1272,12.72509518997811
1291,
1292,
1293,
1294,
1295,
1296,
1297,
1298,
1299,
1300,
1301,
1302,
1303,
1304,
1305,
1306,
1307,
1308,
1309,
1310,
1311,
1312,
1313,
1314,
1315,
1316,
1317,
1318,
1319,
1320,
1321,
1322,
1323,
1324,
1325,
1326,
1327,
1328,
1329,
1330,
1331,
1332,
1333,
1334,
1335,
1336,-14.8409840706056
1337,-16.312058476469737
1338,-20.209057380957685
1339,-19.081271251267918
1358,
1359,
1360,
1361,
1362,
1363,
1364,
1365,
1366,
1367,
1368,
1369,
1370,
1371,
1372,
1373,
1374,
1375,
1376,
1377,
1378,
1379,
1380,
1381,
1382,
1383,
1384,
1385,
1386,
1387,
1388,
1389,
1390,
1391,
1392,
1393,
1394,
1395,
1396,
1397,
1398,
1399,
1400,
1401,
1402,
1403,-2.0855804920685173
1404,-2.884276067612057
1405,-5.51868658756799
1406,-5.590058514403118
1425,
1426,
1427,
1428,
1429,
1430,
1431,
1432,
1433,
1434,
1435,
1436,
1437,
1438,
1439,
1440,
1441,
1442,
1443,
1444,
1445,
1446,
1447,
1448,
1449,
1450,
1451,
1452,
1453,
1454,
1455,
1456,
1457,
1458,
1459,
1460,
1461,
1462,
1463,
1464,
1465,
1466,
1467,
1468,
1469,
1470,-9.186970928748417
1471,-12.48947001336992
1472,-12.05821085458263
1473,-13.15517345887457
1492,
1493,
1494,
1495,
1496,
1497,
1498,
1499,
1500,
1501,
1502,
1503,
1504,
1505,
1506,
1507,
1508,
1509,
1510,
1511,
1512,
1513,
1514,
1515,
1516,
1517,
1518,
1519,
1520,
1521,
1522,
1523,
1524,
1525,
1526,
1527,
1528,
1529,
1530,
1531,
1532,
1533,
1534,
1535,
1536,
1537,18.319726936313785
1538,19.685533983962756
1539,17.534046380973866
1540,12.381898038513462
1559,
1560,
1561,
1562,
1563,
1564,
1565,
1566,
1567,
1568,
1569,
1570,
1571,
1572,
1573,
1574,
1575,
1576,
1577,
1578,
1579,
1580,
1581,
1582,
1583,
1584,
1585,
1586,
1587,
1588,
1589,
1590,
1591,
1592,
1593,
1594,
1595,
1596,
1597,
1598,
1599,
1600,
1601,
1602,
1603,
1604,-14.04597841460129
1605,-17.272320427711573
1606,-20.01519088434316
1607,-21.078957736094562
1626,
1627,
1628,
1629,
1630,
1631,
1632,
1633,
1634,
1635,
1636,
1637,
1638,
1639,
1640,
1641,
1642,
1643,
1644,
1645,
1646,
1647,
1648,
1649,
1650,
1651,
1652,
1653,
1654,
1655,
1656,
1657,
1658,
1659,
1660,
1661,
1662,
1663,
1664,
1665,
1666,
1667,
1668,
1669,
1670,
1671,-4.494811414612132
1672,-7.064536402413424
1673,-14.801439224644996
1674,-19.5464945300022
1693,
1694,
1695,
1696,
1697,
1698,
1699,
1700,
1701,
1702,
1703,
1704,
1705,
1706,
1707,
1708,
1709,
1710,
1711,
1712,
1713,
1714,
1715,
1716,
1717,
1718,
1719,
1720,
1721,
1722,
1723,
1724,
1725,
1726,
1727,
1728,
1729,
1730,
1731,
1732,
1733,
1734,
1735,
1736,
1737,
1738,-4.561407422486075
1739,-4.8873229687880215
1740,-4.597026667032189
1741,-4.594673043474373
1760,
1761,
1762,
1763,
1764,
1765,
1766,
1767,
1768,
1769,
1770,
1771,
1772,
1773,
1774,
1775,
1776,
1777,
1778,
1779,
1780,
1781,
1782,
1783,
1784,
1785,
1786,
1787,
1788,
1789,
1790,
1791,
1792,
1793,
1794,
1795,
1796,
1797,
1798,
1799,
1800,
1801,
1802,
1803,
1804,
1805,-2.3076881067600086
1806,0.6151115476298763
1807,2.061408931712405
1808,6.49411369772519
1827,
1828,
1829,
1830,
1831,
1832,
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,
1842,
1843,
1844,
1845,
1846,
1847,
1848,
1849,
1850,
1851,
1852,
1853,
1854,
1855,
1856,
1857,
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,
1872,17.84582715640044
1873,19.164615677401308
1874,18.697120100223017
1875,17.516578841977235
1894,
1895,
1896,
1897,
1898,
1899,
1900,
1901,
1902,
1903,
1904,
1905,
1906,
1907,
1908,
1909,
1910,
1911,
1912,
1913,
1914,
1915,
1916,
1917,
1918,
1919,
1920,
1921,
1922,
1923,
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,-1.3023666150567714
1940,-2.736139721814912
1941,-4.129762816322535
1942,-3.3964103874505547
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,23.076914395318315
2007,11.94029571909665
2008,12.431450297221236
2009,16.939896975375746
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,16.629958607593466
2074,17.333337995741104
2075,15.641852617717555
2076,11.538461146583522
2095,
2096,
2097,
2098,
2099,
2100,
2101,
2102,
2103,
2104,
2105,
2106,
2107,
2108,
2109,
2110,
2111,
2112,
2113,
2114,
2115,
2116,
2117,
2118,
2119,
2120,
2121,
2122,
2123,
2124,
2125,
2126,
2127,
2128,
2129,
2130,
2131,
2132,
2133,
2134,
2135,
2136,
2137,
2138,
2139,
2140,4.314722685914751
2141,3.873019748263884
2142,3.8656506146999225
2143,3.0226731262686934
2162,
2163,
2164,
2165,
2166,
2167,
2168,
2169,
2170,
2171,
2172,
2173,
2174,
2175,
2176,
2177,
2178,
2179,
2180,
2181,
2182,
2183,
2184,
2185,
2186,
2187,
2188,
2189,
2190,
2191,
2192,
2193,
2194,
2195,
2196,
2197,
2198,
2199,
2200,
2201,
2202,
2203,
2204,
2205,
2206,
2207,-8.374794309616917
2208,-15.478612444615026
2209,-21.046470786956682
2210,-20.58026930876875
2229,
2230,
2231,
2232,
2233,
2234,
2235,
2236,
2237,
2238,
2239,
2240,
2241,
2242,
2243,
2244,
2245,
2246,
2247,
2248,
2249,
2250,
2251,
2252,
2253,
2254,
2255,
2256,
2257,
2258,
2259,
2260,
2261,
2262,
2263,
2264,
2265,
2266,
2267,
2268,
2269,
2270,
2271,
2272,
2273,
2274,10.951177495709995
2275,8.76656221940113
2276,3.28462913749874
2277,2.6650854688928804
2296,
2297,
2298,
2299,
2300,
2301,
2302,
2303,
2304,
2305,
2306,
2307,
2308,
2309,
2310,
2311,
2312,
2313,
2314,
2315,
2316,
2317,
2318,
2319,
2320,
2321,
2322,
2323,
2324,
2325,
2326,
2327,
2328,
2329,
2330,
2331,
2332,
2333,
2334,
2335,
2336,
2337,
2338,
2339,
2340,
2341,-2.0906954379866782
2342,-2.709794212775374
2343,0.22281027038981716
2344,-1.378197954784166
2363,
2364,
2365,
2366,
2367,
2368,
2369,
2370,
2371,
2372,
2373,
2374,
2375,
2376,
2377,
2378,
2379,
2380,
2381,
2382,
2383,
2384,
2385,
2386,
2387,
2388,
2389,
2390,
2391,
2392,
2393,
2394,
2395,
2396,
2397,
2398,
2399,
2400,
2401,
2402,
2403,
2404,
2405,
2406,
2407,
2408,42.638038754087844
2409,44.13937944706026
2410,46.089676808828784
2411,30.549899116404198
2430,
2431,
2432,
2433,
2434,
2435,
2436,
2437,
2438,
2439,
2440,
2441,
2442,
2443,
2444,
2445,
2446,
2447,
2448,
2449,
2450,
2451,
2452,
2453,
2454,
2455,
2456,
2457,
2458,
2459,
2460,
2461,
2462,
2463,
2464,
2465,
2466,
2467,
2468,
2469,
2470,
2471,
2472,
2473,
2474,
2475,-29.458383515669485
2476,-33.49598170259224
2477,-33.92600624813955
2478,-34.36337615653815
2497,
2498,
2499,
2500,
2501,
2502,
2503,
2504,
2505,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2523,
2524,
2525,
2526,
2527,
2528,
2529,
2530,
2531,
2532,
2533,
2534,
2535,
2536,
2537,
2538,
2539,
2540,
2541,
2542,10.630588922219575
2543,4.422876201177006
2544,0.9888360180743128
2545,-0.8859786515356682
2564,
2565,
2566,
2567,
2568,
2569,
2570,
2571,
2572,
2573,
2574,
2575,
2576,
2577,
2578,
2579,
2580,
2581,
2582,
2583,
2584,
2585,
2586,
2587,
2588,
2589,
2590,
2591,
2592,
2593,
2594,
2595,
2596,
2597,
2598,
2599,
2600,
2601,
2602,
2603,
2604,
2605,
2606,
2607,
2608,
2609,8.929838834443693
2610,9.66831247835389
2611,9.256659702927106
2612,10.406272743654444
2631,
2632,
2633,
2634,
2635,
2636,
2637,
2638,
2639,
2640,
2641,
2642,
2643,
2644,
2645,
2646,
2647,
2648,
2649,
2650,
2651,
2652,
2653,
2654,
2655,
2656,
2657,
2658,
2659,
2660,
2661,
2662,
2663,
2664,
2665,
2666,
2667,
2668,
2669,
2670,
2671,
2672,
2673,
2674,
2675,
2676,-17.49814093871659
2677,-17.22099016770924
2678,-17.367458624308608
2679,-18.02513604669025
2698,
2699,
2700,
2701,
2702,
2703,
2704,
2705,
2706,
2707,
2708,
2709,
2710,
2711,
2712,
2713,
2714,
2715,
2716,
2717,
2718,
2719,
2720,
2721,
2722,
2723,
2724,
2725,
2726,
2727,
2728,
2729,
2730,
2731,
2732,
2733,
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2742,
2743,25.545567389677192
2744,26.71232708937954
2745,22.09254353887036
2746,20.958336194356274
2765,
2766,
2767,
2768,
2769,
2770,
2771,
2772,
2773,
2774,
2775,
2776,
2777,
2778,
2779,
2780,
2781,
2782,
2783,
2784,
2785,
2786,
2787,
2788,
2789,
2790,
2791,
2792,
2793,
2794,
2795,
2796,
2797,
2798,
2799,
2800,
2801,
2802,
2803,
2804,
2805,
2806,
2807,
2808,
2809,
2810,2.2101313223483965
2811,3.024643398719684
2812,3.5562364068550734
2813,2.613826740307701
2832,
2833,
2834,
2835,
2836,
2837,
2838,
2839,
2840,
2841,
2842,
2843,
2844,
2845,
2846,
2847,
2848,
2849,
2850,
2851,
2852,
2853,
2854,
2855,
2856,
2857,
2858,
2859,
2860,
2861,
2862,
2863,
2864,
2865,
2866,
2867,
2868,
2869,
2870,
2871,
2872,
2873,
2874,
2875,
2876,
2877,-8.591065453806468
2878,-11.29815765742892
2879,-12.061748987737875
2880,-10.88073679253716
128303,-7.763924046985704
128304,-6.95706844768329
128305,-5.495574411037751
128306,-5.29114696784484
128307,-2.8934357459745486
128308,-3.4225251553330227
128309,-2.9094808243637527
128310,-0.326028451658511
128311,1.5580857261709768
128312,-1.3102387871077092
128313,-4.2906652253253625
128314,-3.0830751902400144
128315,0.5657302891209026
128316,2.8041544314635125
2899,
2900,
2901,
2902,
2903,
2904,
2905,
2906,
2907,
2908,
2909,
2910,
2911,
2912,
2913,
2914,
2915,
2916,
2917,
2918,
2919,
2920,
2921,
2922,
2923,
2924,
2925,
2926,
2927,
2928,
2929,
2930,
2931,
2932,
2933,
2934,
2935,
2936,
2937,
2938,
2939,
2940,
2941,
2942,
2943,
2944,-0.7869663849070063
2945,-1.26683942139163
2946,-3.31125827814569
2947,-4.327185061525329
128317,-1.5830430516267646
128318,-2.9862707837894797
128319,-3.891564717017737
128320,-5.902413596654199
128321,-4.468696143667305
128322,-3.998938990232226
128323,-1.177411397605288
128324,-3.526316191020762
128325,-2.370802791537263
128326,-0.9654078882086026
128327,-2.0069575098651815
128328,0.08053363569631156
128329,5.7134963317099885
128330,4.157669755568949
2966,
2967,
2968,
2969,
2970,
2971,
2972,
2973,
2974,
2975,
2976,
2977,
2978,
2979,
2980,
2981,
2982,
2983,
2984,
2985,
2986,
2987,
2988,
2989,
2990,
2991,
2992,
2993,
2994,
2995,
2996,
2997,
2998,
2999,
3000,
3001,
3002,
3003,
3004,
3005,
3006,
3007,
3008,
3009,
3010,
3011,6.50532708315843
3012,4.787234250111938
3013,6.087662922538106
3014,5.753673060746012
128331,9.020355611903263
128332,6.804077702869815
128333,7.340278175699155
128334,5.096662091413595
128335,4.1455327147510435
128336,4.917390492009788
128337,6.236761917587708
128338,5.4361439900225905
128339,2.9484194937244412
128340,3.303386448750323
128341,3.2200529602617545
128342,3.857654564724
128343,2.657005413014346
128344,4.890483756347441
3033,
3034,
3035,
3036,
3037,
3038,
3039,
3040,
3041,
3042,
3043,
3044,
3045,
3046,
3047,
3048,
3049,
3050,
3051,
3052,
3053,
3054,
3055,
3056,
3057,
3058,
3059,
3060,
3061,
3062,
3063,
3064,
3065,
3066,
3067,
3068,
3069,
3070,
3071,
3072,
3073,
3074,
3075,
3076,
3077,
3078,-5.412460010200293
3079,-7.971450725005768
3080,-8.300909230263242
3081,-4.636528087590852
128345,4.690165388526468
128346,-1.903581542773436
128347,-4.791622933600214
128348,-6.1258704461129465
128349,-8.772940261045402
128350,-9.005838549683832
128351,-6.0815708477773285
128352,-2.6127024023932077
128353,-1.6915249810757205
128354,-3.7859046337371915
128355,-3.485810497965358
128356,-5.181152295134018
128357,0.49412761772655855
128358,4.133301227887132
3100,
3101,
3102,
3103,
3104,
3105,
3106,
3107,
3108,
3109,
3110,
3111,
3112,
3113,
3114,
3115,
3116,
3117,
3118,
3119,
3120,
3121,
3122,
3123,
3124,
3125,
3126,
3127,
3128,
3129,
3130,
3131,
3132,
3133,
3134,
3135,
3136,
3137,
3138,
3139,
3140,
3141,
3142,
3143,
3144,
3145,-21.022728966040983
3146,-21.314550097632967
3147,-26.134301223299282
3148,-25.86666531032986
128359,-24.482442820956695
128360,-29.313380495999642
128361,-29.29203861722628
128362,-28.384279948809766
128363,-29.37062744686454
128364,-29.58370384298652
128365,-28.674483872155008
128366,-29.24187539194896
128367,-29.919136473192452
128368,-29.038113912671125
128369,-30.05464345607418
128370,-30.796777383387486
128371,-27.12963197620477
128372,-28.03652738173197
3167,
3168,
3169,
3170,
3171,
3172,
3173,
3174,
3175,
3176,
3177,
3178,
3179,
3180,
3181,
3182,
3183,
3184,
3185,
3186,
3187,
3188,
3189,
3190,
3191,
3192,
3193,
3194,
3195,
3196,
3197,
3198,
3199,
3200,
3201,
3202,
3203,
3204,
3205,
3206,
3207,
3208,
3209,
3210,
3211,
3212,-31.449896056617753
3213,-32.18029542911096
3214,-29.82273293022445
3215,-28.42105062384355
128373,-28.55648928956953
128374,-28.270036718474923
128375,-31.135900625972113
128376,-34.318398314405606
128377,-34.30725715617545
128378,-31.826919109158112
128379,-30.294115034629133
128380,-28.78485933731223
128381,-28.059702668077023
128382,-29.971180896171713
128383,-25.799789797967676
128384,-20.950324074178972
128385,-15.358742980283536
128386,-17.279823239607104
3234,
3235,
3236,
3237,
3238,
3239,
3240,
3241,
3242,
3243,
3244,
3245,
3246,
3247,
3248,
3249,
3250,
3251,
3252,
3253,
3254,
3255,
3256,
3257,
3258,
3259,
3260,
3261,
3262,
3263,
3264,
3265,
3266,
3267,
3268,
3269,
3270,
3271,
3272,
3273,
3274,
3275,
3276,
3277,
3278,
3279,-11.367975475906732
3280,-11.319559627603837
3281,-11.526601616422184
3282,-12.334624957343799
128387,-8.228375774910434
128388,-11.421575797561957
128389,-12.608610763458172
128390,-14.924789206112965
128391,-15.909974034302078
128392,-14.877334087437955
128393,-13.519906155743843
128394,-14.643621421128417
128395,-15.310345729583585
128396,-15.477580399207703
128397,-14.38919738712664
128398,-7.5223856304415415
128399,-2.9555660871400935
128400,0.4602536071434793
3301,
3302,
3303,
3304,
3305,
3306,
3307,
3308,
3309,
3310,
3311,
3312,
3313,
3314,
3315,
3316,
3317,
3318,
3319,
3320,
3321,
3322,
3323,
3324,
3325,
3326,
3327,
3328,
3329,
3330,
3331,
3332,
3333,
3334,
3335,
3336,
3337,
3338,
3339,
3340,
3341,
3342,
3343,
3344,
3345,
3346,-1.2564004683077945
3347,-1.1579434841737735
3348,-3.4810145956140848
3349,-5.392161154296082
128401,-2.66365761963403
128402,-3.3378428893621637
128403,-0.909499125386537
128404,-2.6766151199930643
128405,-0.5235638692580702
128406,2.4269704068644593
128407,4.211957918429565
128408,3.1636889085444153
128409,0.272600932841649
128410,0.9086726647479892
128411,0.4950522671053781
128412,3.1895735722026197
128413,15.675927395670053
128414,15.829744094197306
3368,
3369,
3370,
3371,
3372,
3373,
3374,
3375,
3376,
3377,
3378,
3379,
3380,
3381,
3382,
3383,
3384,
3385,
3386,
3387,
3388,
3389,
3390,
3391,
3392,
3393,
3394,
3395,
3396,
3397,
3398,
3399,
3400,
3401,
3402,
3403,
3404,
3405,
3406,
3407,
3408,
3409,
3410,
3411,
3412,
3413,0.6621312183472394
3414,0.03531154304237116
3415,-0.9865000118837952
3416,-2.262908226646132
128415,-0.613608490884654
128416,0.01755993046212989
128417,1.3793149505171964
128418,-1.3731915828136154
128419,-1.0400389814592792
128420,-1.0968284599566558
128421,-2.3998617760488283
128422,1.1896681868187597
128423,3.0308277608738443
128424,1.1966677567377015
128425,-2.2281756524656693
128426,-3.207145623368124
128427,-2.4296259308391854
128428,-0.3698120936223792
3435,
3436,
3437,
3438,
3439,
3440,
3441,
3442,
3443,
3444,
3445,
3446,
3447,
3448,
3449,
3450,
3451,
3452,
3453,
3454,
3455,
3456,
3457,
3458,
3459,
3460,
3461,
3462,
3463,
3464,
3465,
3466,
3467,
3468,
3469,
3470,
3471,
3472,
3473,
3474,
3475,
3476,
3477,
3478,
3479,
3480,-12.751735619952587
3481,-12.76758726710645
3482,-14.515354624746735
3483,-12.890856444197919
128429,-13.16304257983144
128430,-16.193450707296698
128431,-14.89485037231385
128432,-17.096863809382423
128433,-17.85713871613406
128434,-20.499818200340968
128435,-19.957611974880706
128436,-16.85746139925717
128437,-17.97732071591249
128438,-17.41008666301711
128439,-7.423582046898747
128440,-5.371978317481885
128441,-0.9251081938390304
128442,-3.1763096263617396
3502,
3503,
3504,
3505,
3506,
3507,
3508,
3509,
3510,
3511,
3512,
3513,
3514,
3515,
3516,
3517,
3518,
3519,
3520,
3521,
3522,
3523,
3524,
3525,
3526,
3527,
3528,
3529,
3530,
3531,
3532,
3533,
3534,
3535,
3536,
3537,
3538,
3539,
3540,
3541,
3542,
3543,
3544,
3545,
3546,
3547,8.876558434111747
3548,0.9510827928585153
3549,-2.2666676839192657
3550,-0.6711371164805024
128443,2.4725250432837687
128444,9.248552881929339
128445,9.668111008518876
128446,12.879889478667227
128447,16.981140432559826
128448,16.350363520467216
128449,16.741403228394237
128450,18.646612832110797
128451,19.452890952123525
128452,22.44581734833959
128453,19.171779197189064
128454,10.909095112614132
128455,21.656044764984973
128456,20.37325004280781
3569,
3570,
3571,
3572,
3573,
3574,
3575,
3576,
3577,
3578,
3579,
3580,
3581,
3582,
3583,
3584,
3585,
3586,
3587,
3588,
3589,
3590,
3591,
3592,
3593,
3594,
3595,
3596,
3597,
3598,
3599,
3600,
3601,
3602,
3603,
3604,
3605,
3606,
3607,
3608,
3609,
3610,
3611,
3612,
3613,
3614,3.2178728412881386
3615,2.2961116505315182
3616,3.405917094866373
3617,1.4722536806341946
128457,3.89729470982485
128458,2.999676924069261
128459,5.867372035998986
128460,5.722476237577823
128461,7.50823265537881
128462,7.8853057287259665
128463,10.200350605292009
128464,8.833217994102904
128465,9.912318822321776
128466,11.870315782918773
128467,11.763845313176692
128468,12.70094672908002
128469,17.489456445678076
128470,12.951691786833642
3636,
3637,
3638,
3639,
3640,
3641,
3642,
3643,
3644,
3645,
3646,
3647,
